id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Liza;Conroy;Emanuel_Toy35@gmail.com;boohoo gah;2024-06-26T10:25:26;18218;13707
2;Ericka;Baumbach;Marielle43@gmail.com;remote;2024-06-25T18:38:31;32510;3636
3;Erick;Zboncak;June34@gmail.com;distress;2024-06-26T11:55:01;16563;19769
4;Donnie;Ruecker-Boyer;Jonas.Schinner-Renner97@yahoo.com;panhandle;2024-06-26T00:57:37;2265;3535
5;Aryanna;Hermiston;Madaline.Kuhlman@gmail.com;ick than;2024-06-25T18:55:22;29265;20083
6;Elva;Schamberger;Chloe_Smith24@hotmail.com;reluctantly sane;2024-06-26T03:56:05;21344;4542
7;Elda;Schimmel;Elouise.Berge77@yahoo.com;far till;2024-06-26T05:01:48;25321;151
8;Kennith;Prosacco;Autumn.DAmore2@yahoo.com;naturally glorious;2024-06-26T05:31:22;28248;25187
9;Isom;O'Connell;Roberto49@gmail.com;blah;2024-06-25T20:32:47;9734;6036
10;Nora;Douglas;Koby_Rodriguez25@yahoo.com;thoughtfully likelihood rudely;2024-06-26T00:03:13;651;26194
